,ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
0,346418412,20190415,,,,22584380+3939414,,J225843.77+393940.9,1928634345348134400,,,STAR,tmgaia2,344.682378578147,39.6614192884142,tmgaia2,0.951579,0.125346,-8.33944,0.128532,gaia2,0.542159,0.105038,gaia2,100.428882459119,-18.2348877193425,5.1789926727886,41.7957124559977,18.003,0.096,17.515,0.046,,,,,,,,,,,15.954,0.071,15.528,0.113,15.28,0.179,ABC-222-111-000-0-0,,15.441,0.042,15.655,0.122,12.793,,9.054,,17.2901,0.000945,16.7338,0.007,rered,gaia2,5380.0,124.0,4.74944,,,,0.673838,,0.93,,3.0396,,DWARF,0.342716217,,1706.66,324.51,0.0914344,0.005666715,,,,,,0.00366211,0.00767132,panstarrs,,,,,,,,,,,269.28,379.74,bj2018,,,dered,17.7468,0.006171,16.6725,0.003823,1,,gaia2,bpbj,,2.06638631312634,1.99325363123534,344.682383900204,39.6613833824918,0.065766467152081,0.063371238877378,1,0,490472920
1,346418367,20190415,,,,22582666+3937103,,J225826.64+393710.4,1928634036110426752,,,STAR,tmgaia2,344.611000532566,39.6195767913864,tmgaia2,-6.86475,0.324128,-6.72881,0.330165,gaia2,1.71529,0.281619,gaia2,100.357480120249,-18.2480504977378,5.08690176894522,41.7881110975272,,,20.2202,0.0802,,,,,,,,,,,15.904,0.073,15.248,0.089,15.242,0.16,AAC-222-111-000-0-0,,15.026,0.033,14.933,0.068,12.818,,9.255,,18.9169,0.002599,17.6049,0.0137282,cdwrf,cdwrf,3326.0,160.0,4.83741,0.0556748,,,0.388363,0.0617794,0.378285,0.0719999,6.45811,1.9282,DWARF,0.0166287422,0.008652289,589.709,111.997,0.0916402,0.01014384,,,,,,0.0126677,0.00761998,panstarrs,,,,,,,,,,,91.92,132.075,bj2018,,,cdwrf,20.38,0.068704,17.6752,0.011448,1,,gaia2,,cooldwarfs_v8,5.34294656444427,5.12049116519067,344.61096216214,39.6195478201272,0.177674824775461,0.173306107767475,1,0,490472875
2,346418375,20190415,,,,22581392+3937504,,J225813.94+393750.3,1928634929463641216,,,STAR,tmgaia2,344.558089471707,39.6306570691551,tmgaia2,-2.96998,0.149818,-2.38089,0.160194,gaia2,0.746397,0.129801,gaia2,100.324208720307,-18.2200318240847,5.04766550898574,41.8185774163426,19.834,0.091,18.1404,0.0466,,,,,,,,,,,15.799,0.07,15.103,0.087,15.397,0.194,AAC-222-111-000-0-0,,15.092,0.036,15.254,0.081,12.435,,9.275,,17.7013,0.001137,16.9358,0.0066,rered,gaia2,4469.0,124.0,4.59687,,,,0.696863,,0.7,,2.0685,,DWARF,0.174514383,,1286.18,233.39,0.108224,0.004358555,,,,,,0.00545314,0.00326397,panstarrs,,,,,,,,,,,194.46,272.32,bj2018,,,dered,18.4093,0.014552,16.869,0.004786,1,,gaia2,bpbj,,2.46965856115795,2.48437670289816,344.558072868386,39.630646818102,0.0810364572373225,0.0824853917621372,1,0,490472883
3,346418423,20190415,,,,22581224+3941090,,,1928638090559650048,,,STAR,tmgaia2,344.550873458673,39.6858117038092,tmgaia2,-1.23005,0.165019,-2.24296,0.1951,gaia2,0.148218,0.143181,gaia2,100.344759217675,-18.1681497861932,5.07937588115348,41.8687255936275,18.427,0.143,17.897,0.046,,,,,,,,,,,16.238,0.126,16.228,0.227,15.568,0.245,BDD-222-111-cc0-0-0,,,,,,,,,,17.673,0.001234,17.1177,0.007,rered,gaia2,5391.0,125.0,4.44286,,,,0.964206,,0.94,,1.04862,,DWARF,0.70747596,,2920.98,880.395,0.092881,0.00539665,,,,,,0.00548254,0.00531076,panstarrs,,,,,,,,,,,707.83,1052.96,bj2018,,,dered,18.1346,0.008847,17.0627,0.005673,1,,gaia2,bpbj,,2.72064248997248,3.02550335449613,344.550866576735,39.6858020466204,0.087188257348703,0.0937664415840323,1,0,490472931
4,346418364,20190415,,3219-02555-1,649-113166,22582983+3936596,,J225829.81+393659.5,1928634006047883008,50924577,,STAR,tmgaia2,344.62429157617,39.6165676676462,tmgaia2,-10.2336,0.0519145,-9.96431,0.0538698,gaia2,1.92867,0.04214,gaia2,100.365737725986,-18.2552876985217,5.09660111558045,41.7802645170924,11.679,0.147,11.417,0.011,,,,,,,,,,,10.632,0.023,10.525,0.03,10.496,0.019,AAA-222-111-000-0-0,,10.444,0.022,10.461,0.02,10.284,0.072,8.418,,11.3143,0.000656,11.0586,0.0081,rered,gaia2,7336.0,124.91,4.22046,0.0804856,,,1.65523,0.0671407,1.66,0.273448,0.366042,0.0773911,DWARF,7.14907455,0.4314425,511.087,11.0955,0.0869303,0.007354105,181.0,0.03750484,,,0.0005504763,0.00956755,0.00514066,panstarrs,0.208798,0.338097,0.0563452,0.0779362,0.0635654,0.0912167,0.0666207,0.0943505,0.410918,0.451967,10.859,11.332,bj2018,105.045,144.775,dered,11.5052,0.001028,11.007,0.000766,1,,tycho2v3,tycho2b3,,0.855750562163798,0.835469825152343,344.62423437809,39.6165247657696,0.0283736726275837,0.0285491753379464,1,0,490472872
5,346418386,20190415,,,649-113158,22582448+3938250,,J225824.49+393824.9,1928634830681601024,51379956,,STAR,tmgaia2,344.602013003497,39.6402802574514,tmgaia2,1.62159,0.0596272,-4.79518,0.0616792,gaia2,1.02626,0.0523897,gaia2,100.360617371684,-18.2264248318396,5.09322616765632,41.8094258503992,17.464,0.074,16.122,0.263,,,,,,,,,,,14.474,0.04,13.931,0.042,13.863,0.052,AAA-222-111-000-0-0,,13.777,0.024,13.868,0.038,12.671,,9.246,,15.913,0.0005,15.2976,0.0071,rered,gaia2,5090.0,122.0,4.54506,,,,0.815108,,0.85,,1.56955,,DWARF,0.401787043,,948.692,48.3365,0.0993984,0.00608201,,,,,,0.00580963,0.00635439,panstarrs,,,,,,,,,,,45.928,50.745,bj2018,,,dered,16.4447,0.004338,15.2453,0.001506,1,,ucac4,bpbj,,0.982949381232929,0.956589580195104,344.602022070065,39.6402596115378,0.0323040085965266,0.0327849504511638,1,0,490472894
6,346418393,20190415,,,649-113179,22584336+3938552,,J225843.34+393855.3,1928634315285527168,50781311,,STAR,tmgaia2,344.680659516835,39.6487112161223,tmgaia2,-5.59628,0.0365559,-5.16836,0.0391824,gaia2,0.663964,0.0299379,gaia2,100.421711990749,-18.2456982874356,5.1687002804503,41.785496845444,15.277,0.026,14.765,0.149,,,,,,,,,,,13.607,0.031,13.436,0.04,13.352,0.038,AAA-222-111-000-0-0,,13.22,0.024,13.275,0.029,12.558,,9.247,,14.5908,0.000274,14.1915,0.0073,rered,gaia2,6368.0,122.0,4.26888,,,,1.36929,,1.27,,0.494669,,DWARF,2.7777915,,1442.12,62.685,0.0908243,0.00612503,,,,,,0.00439505,0.00785501,panstarrs,,,,,,,,,,,60.02,65.35,bj2018,,,dered,14.8907,0.001528,14.1294,0.000751,1,,ucac4,apassdr9,,0.602630824173243,0.607620139561477,344.680628223328,39.6486889634652,0.0196191731911715,0.0188654748381349,1,0,490472901
7,346418434,20190415,,,,22583653+3942159,,J225836.53+394215.7,1928635380437410688,,,STAR,tmgaia2,344.652251487862,39.7043873000067,tmgaia2,-3.69334,0.126338,-3.20622,0.128972,gaia2,0.469042,0.107493,gaia2,100.427017216532,-18.186095522065,5.1819988513352,41.8444853868622,18.922,0.087,17.763,0.0462,,,,,,,,,,,15.591,0.061,15.031,0.081,15.255,0.177,AAC-222-111-000-0-0,,14.833,0.031,14.806,0.064,12.781,,8.928,,17.3636,0.000946,16.6315,0.0068,rered,gaia2,4547.0,123.0,4.19066,,,,1.12815,,0.72,,0.501452,,DWARF,0.4901512,,1912.91,406.99,0.0918943,0.005339545,,,,,,0.00334308,0.00733601,panstarrs,,,,,,,,,,,332.16,481.82,bj2018,,,dered,18.0443,0.010037,16.5793,0.003225,1,,gaia2,bpbj,,2.0830075316614,2.00020501229637,344.652230818638,39.7043734954501,0.0658443720251195,0.0674923614903067,1,0,490472942
8,346337777,20190415,,,649-113139,22580977+3940592,,J225809.82+394059.3,1928638163576215552,,,STAR,tmgaia2,344.540772773112,39.6831612320314,tmgaia2,38.5735,0.0300332,0.694864,0.0313298,gaia2,2.21513,0.0251876,gaia2,100.336190564767,-18.1670709487467,5.06859466401064,41.8704554801685,15.892,0.067,14.341,0.137,,,,,,,,,,,12.736,0.027,12.259,0.033,12.236,0.02,AAA-222-111-000-0-0,,12.143,0.023,12.184,0.023,12.3,0.355,9.131,,14.0809,0.000217,13.5176,0.009,rered,gaia2,5249.0,122.0,4.59411,,,,0.79268,,0.9,,1.80696,,DWARF,0.429730624,,445.679,5.0415,0.0664632,0.01087505,,,,,,0.0105991,0.011151,panstarrs,,,,,,,,,,,4.985,5.098,bj2018,,,dered,14.5541,0.001297,13.463,0.000862,1,,ucac4,bpbj,,0.495153949721577,0.485891286640097,344.540988577556,39.6831642240067,0.016037902585285,0.0164749813705237,1,0,490467431
9,346337793,20190415,,,,22580874+3939183,,J225808.75+393918.8,1928637953120657280,,,STAR,tmgaia2,344.536496179121,39.6551568805413,tmgaia2,-7.55609,0.0917567,3.66428,0.0942757,gaia2,0.529733,0.0835928,gaia2,100.319987765358,-18.1906951474283,5.04545027387926,41.8481408011148,17.906,0.082,16.9261,0.0459,,,,,,,,,,,15.256,0.052,14.769,0.071,14.706,0.107,AAB-222-111-000-0-0,,14.727,0.031,14.806,0.067,12.078,,8.649,,16.6818,0.000806,16.101,0.0066,rered,gaia2,5310.0,123.0,4.42484,,,,0.968579,,0.91,,1.00147,,DWARF,0.6719588,,1756.51,271.54,0.109891,0.00407085,,,,,,0.00543859,0.00270311,panstarrs,,,,,,,,,,,232.9,310.18,bj2018,,,dered,17.1658,0.005533,16.0414,0.002474,1,,gaia2,bpbj,,1.51265779816005,1.46209912622939,344.536453922728,39.6551726573102,0.0492638933085068,0.0491329980820946,1,0,490467447
